Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/04/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
12/22/2021,7040,18,151,972,2137,1701,972,646,395,136,81,0,3904,3072,64,979,222,1898,1935,653,1353,0,0,1,0,1,3,4,9,0,10,8,0,2,0,10,6,0,0,10,17,21,21,21,22,18,21,0,80,71,0,24,3,89,28,3,4
06/16/2020,210,11,24,18,58,37,32,32,21,3,9,0,117,92,1,81,6,60,28,6,29,0,1,0,2,3,1,2,2,0,5,6,0,9,0,1,1,0,0,1,4,2,3,3,5,2,4,0,16,8,0,7,1,12,3,0,1
08/11/2020,386,4,22,48,103,74,66,48,37,7,3,0,184,201,1,173,6,79,89,14,25,0,0,0,0,1,0,1,2,0,1,3,0,1,1,2,0,0,0,1,0,3,1,4,9,1,3,0,15,7,0,5,0,9,7,1,0
03/26/2020,413,2,132,2,65,74,78,96,53,36,9,0,181,232,0,82,14,201,98,10,8,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,7,11,23,25,26,28,12,0,57,75,0,27,1,81,19,4,0
09/15/2020,352,1,21,54,100,67,47,42,26,13,3,0,189,163,0,167,9,50,96,10,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,5,3,4,3,0,10,11,0,8,1,7,5,0,0
03/27/2020,404,8,154,4,43,61,86,103,49,36,22,0,212,192,0,74,12,219,74,10,15,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0,2,4,9,27,40,34,20,18,0,77,77,0,17,6,113,14,3,1
01/24/2021,341,16,47,34,83,71,46,44,30,23,10,0,172,169,0,74,19,67,134,14,33,0,0,0,1,2,2,8,3,0,11,5,0,6,1,7,2,0,0,0,3,2,6,5,11,13,7,0,24,23,0,9,4,22,8,3,1
11/28/2020,1373,17,117,158,326,257,218,200,129,55,30,0,696,674,3,587,50,214,311,50,161,0,0,1,0,4,3,4,5,0,9,8,0,6,0,7,4,0,0,2,7,8,11,18,24,24,23,0,52,65,0,36,3,44,24,5,5
10/31/2020,1069,10,82,136,273,224,169,130,86,39,12,0,544,524,1,390,42,165,297,42,133,0,0,1,0,2,1,5,1,0,2,8,0,4,1,2,3,0,0,2,6,4,14,13,21,15,7,0,38,44,0,24,3,32,19,2,2
01/05/2022,6825,19,239,1216,1564,1291,934,820,568,275,155,2,3717,3041,67,1627,302,1366,1500,415,1615,0,0,0,3,4,0,2,10,0,5,14,0,3,0,7,7,0,2,10,19,25,15,41,52,37,40,0,123,116,0,45,4,130,41,11,8
04/03/2021,471,9,45,61,130,114,69,51,28,12,6,0,236,235,0,109,24,108,173,16,41,0,0,0,1,2,1,2,3,0,3,6,0,4,1,3,1,0,0,0,3,5,7,6,7,12,5,0,19,26,0,7,0,21,15,1,1
10/03/2020,227,3,31,26,57,46,35,28,20,9,6,0,121,106,0,76,7,36,77,7,24,0,0,0,0,1,1,0,1,0,1,2,0,2,0,1,0,0,0,0,2,5,2,4,10,4,4,0,15,16,0,13,0,12,5,0,1
09/16/2020,365,4,32,47,120,78,48,34,25,10,3,0,203,162,0,177,6,58,99,3,22,0,0,0,0,0,2,1,1,0,3,1,0,1,0,1,2,0,0,1,3,2,3,0,13,6,4,0,23,9,0,10,0,10,9,1,2
12/15/2021,3503,9,104,622,1149,853,411,250,124,63,31,0,1881,1591,31,458,118,931,1029,226,741,0,0,0,1,1,1,3,3,0,5,4,0,1,0,2,6,0,0,3,12,13,10,17,23,13,13,0,49,55,0,15,3,54,26,5,1
06/14/2020,92,12,27,6,22,18,20,14,6,2,4,0,44,48,0,38,1,28,7,6,12,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,5,3,3,0,11,16,0,12,1,10,1,2,1
05/22/2021,131,5,33,27,37,16,13,19,10,8,1,0,69,62,0,35,1,56,22,6,11,0,0,1,0,0,2,2,0,0,3,2,0,2,1,2,0,0,0,1,4,4,8,7,5,4,0,0,19,14,0,6,0,20,4,1,2
02/19/2021,319,7,32,46,83,63,41,43,13,16,14,0,164,154,1,98,13,60,88,20,40,0,0,0,1,0,1,3,2,0,2,5,0,1,0,5,1,0,0,0,3,5,2,3,5,3,11,0,15,17,0,7,2,16,5,0,2
11/10/2021,591,2,29,164,132,119,70,39,38,15,14,0,304,283,4,87,14,142,167,49,132,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,2,3,4,8,6,4,0,14,15,0,4,0,13,9,1,2
10/17/2021,200,10,11,38,42,49,25,18,12,10,6,0,116,84,0,31,10,35,89,14,21,0,0,1,1,0,1,4,3,0,3,7,0,1,1,5,3,0,0,0,2,1,0,3,3,0,2,0,7,4,0,2,0,6,3,0,0
11/04/2021,497,1,27,151,100,111,54,35,28,11,7,0,270,225,2,71,12,112,154,50,98,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,3,6,7,2,5,0,12,15,0,9,0,10,6,2,0
07/26/2021,327,2,25,61,91,77,34,33,19,6,6,0,177,149,1,51,14,95,98,14,55,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,6,2,4,3,2,3,4,0,11,14,0,5,0,17,2,0,1
