ReportDate,CountyName,CumulativeCases,CasesChange,TotalTested,TotalTestedChange,Deaths,DeathsChange
3/17/20 0:00,Chicago,0,0,0,0,0,0
3/18/20 0:00,Chicago,0,0,0,0,0,0
3/19/20 0:00,Chicago,0,0,0,0,0,0
3/20/20 0:00,Chicago,0,0,0,0,0,0
3/21/20 0:00,Chicago,0,0,0,0,0,0
3/22/20 0:00,Chicago,519,519,0,0,4,4
3/24/20 0:00,Chicago,782,263,0,0,5,1
3/25/20 0:00,Chicago,915,133,0,0,5,0
3/26/20 0:00,Chicago,1161,246,0,0,9,4
3/27/20 0:00,Chicago,1364,203,0,0,9,0
3/28/20 0:00,Chicago,1610,246,0,0,12,3
3/29/20 0:00,Chicago,2026,416,0,0,16,4
3/30/20 0:00,Chicago,2198,172,0,0,16,0
3/31/20 0:00,Chicago,2693,495,0,0,21,5
4/1/20 0:00,Chicago,3087,394,0,0,39,18
4/2/20 0:00,Chicago,3279,192,0,0,41,2
4/3/20 0:00,Chicago,3815,536,0,0,57,16
4/4/20 0:00,Chicago,4296,481,0,0,76,19
4/5/20 0:00,Chicago,4614,318,0,0,90,14
4/6/20 0:00,Chicago,5067,453,0,0,108,18
4/7/20 0:00,Chicago,5506,439,0,0,135,27
4/8/20 0:00,Chicago,6092,586,0,0,177,42
4/9/20 0:00,Chicago,6648,556,0,0,198,21
4/10/20 0:00,Chicago,7230,582,0,0,218,20
4/11/20 0:00,Chicago,7784,554,0,0,249,31
4/12/20 0:00,Chicago,8503,719,0,0,267,18
4/13/20 0:00,Chicago,9084,581,0,0,308,41
4/14/20 0:00,Chicago,9616,532,0,0,328,20
4/15/20 0:00,Chicago,10192,576,0,0,361,33
4/16/20 0:00,Chicago,10642,450,0,0,414,53
4/17/20 0:00,Chicago,11409,767,0,0,427,13
4/18/20 0:00,Chicago,12007,598,0,0,491,64
4/19/20 0:00,Chicago,12533,526,0,0,492,1
4/20/20 0:00,Chicago,13013,480,0,0,514,22
4/21/20 0:00,Chicago,13554,541,0,0,569,55
4/22/20 0:00,Chicago,14394,840,0,0,604,35
4/23/20 0:00,Chicago,15073,679,0,0,641,37
4/24/20 0:00,Chicago,16112,1039,0,0,678,37
4/25/20 0:00,Chicago,17109,997,0,0,708,30
4/26/20 0:00,Chicago,17865,756,0,0,740,32
4/27/20 0:00,Chicago,18682,817,0,0,772,32
4/28/20 0:00,Chicago,19594,912,0,0,803,31
4/29/20 0:00,Chicago,20413,819,0,0,851,48
4/30/20 0:00,Chicago,21491,1078,0,0,894,43
5/1/20 0:00,Chicago,22718,1227,0,0,945,51
5/2/20 0:00,Chicago,23616,898,0,0,978,33
5/3/20 0:00,Chicago,24864,1248,0,0,1009,31
5/4/20 0:00,Chicago,25805,941,104885,104885,1021,12
5/5/20 0:00,Chicago,26606,801,108872,3987,1068,47
5/6/20 0:00,Chicago,27440,834,112588,3716,1112,44
5/7/20 0:00,Chicago,28441,1001,117295,4707,1184,72
5/8/20 0:00,Chicago,29535,1094,122700,5405,1248,64
5/9/20 0:00,Chicago,30393,858,127332,4632,1289,41
5/10/20 0:00,Chicago,30950,557,130868,3536,1337,48
5/11/20 0:00,Chicago,31327,377,133666,2798,1376,39
5/12/20 0:00,Chicago,32557,1230,140367,6701,1441,65
5/13/20 0:00,Chicago,33074,517,144058,3691,1493,52
5/14/20 0:00,Chicago,34341,1267,148581,4523,1552,59
5/15/20 0:00,Chicago,35183,842,155725,7144,1606,54
5/16/20 0:00,Chicago,36006,823,161716,5991,1620,14
5/17/20 0:00,Chicago,36621,615,166152,4436,1636,16
5/18/20 0:00,Chicago,37434,813,171515,5363,1681,45
5/19/20 0:00,Chicago,37919,485,176024,4509,1729,48
5/20/20 0:00,Chicago,38839,920,184163,8139,1787,58
5/21/20 0:00,Chicago,39755,916,191989,7826,1814,27
5/22/20 0:00,Chicago,40465,710,198741,6752,1850,36
5/23/20 0:00,Chicago,41402,937,208218,9477,1894,44
5/24/20 0:00,Chicago,42372,970,215700,7482,1940,46
5/25/20 0:00,Chicago,42967,595,222059,6359,1955,15
5/26/20 0:00,Chicago,43372,405,226289,4230,1980,25
5/27/20 0:00,Chicago,43778,406,230460,4171,2021,41
5/28/20 0:00,Chicago,44170,392,236051,5591,2049,28
5/29/20 0:00,Chicago,44666,496,240720,4669,2075,26
5/30/20 0:00,Chicago,45085,419,246908,6188,2098,23
5/31/20 0:00,Chicago,45527,442,252594,5686,2122,24
6/1/20 0:00,Chicago,45837,310,257538,4944,2132,10
6/2/20 0:00,Chicago,46733,896,261485,3947,2145,13
6/3/20 0:00,Chicago,46977,244,269409,7924,2183,38
6/4/20 0:00,Chicago,47251,274,273504,4095,2218,35
6/5/20 0:00,Chicago,47551,300,277514,4010,2240,22
6/6/20 0:00,Chicago,47904,353,281986,4472,2251,11
6/7/20 0:00,Chicago,48175,271,286959,4973,2268,17
6/8/20 0:00,Chicago,48363,188,290635,3676,2283,15
6/9/20 0:00,Chicago,48603,240,295205,4570,2305,22
6/10/20 0:00,Chicago,48742,139,299198,3993,2314,9
6/11/20 0:00,Chicago,48939,197,303886,4688,2350,36
6/12/20 0:00,Chicago,49101,162,309341,5455,2369,19
6/13/20 0:00,Chicago,49285,184,314295,4954,2372,3
6/14/20 0:00,Chicago,49449,164,319779,5484,2384,12
6/15/20 0:00,Chicago,49603,154,324443,4664,2399,15
6/16/20 0:00,Chicago,49776,173,328930,4487,2427,28
6/17/20 0:00,Chicago,49929,153,334873,5943,2441,14
6/18/20 0:00,Chicago,50084,155,339743,4870,2459,18
6/19/20 0:00,Chicago,50277,193,344851,5108,2481,22
6/20/20 0:00,Chicago,50425,148,349958,5107,2491,10
6/21/20 0:00,Chicago,50541,116,355918,5960,2505,14
6/22/20 0:00,Chicago,50635,94,359892,3974,2523,18
6/23/20 0:00,Chicago,50833,198,364324,4432,2525,2
6/24/20 0:00,Chicago,50996,163,369653,5329,2539,14
6/25/20 0:00,Chicago,51267,271,376224,6571,2557,18
6/26/20 0:00,Chicago,51511,244,383156,6932,2575,18
6/27/20 0:00,Chicago,51728,217,390464,7308,2580,5
6/28/20 0:00,Chicago,51950,222,397182,6718,2582,2
6/29/20 0:00,Chicago,52150,200,403848,6666,2593,11
6/30/20 0:00,Chicago,52354,204,410036,6188,2598,5
7/1/20 0:00,Chicago,52560,206,417186,7150,2611,13
7/2/20 0:00,Chicago,52833,273,423788,6602,2623,12
7/3/20 0:00,Chicago,53089,256,431656,7868,2627,4
7/4/20 0:00,Chicago,53375,286,441042,9386,2631,4
7/5/20 0:00,Chicago,53531,156,448260,7218,2634,3
7/6/20 0:00,Chicago,53670,139,453594,5334,2636,2
7/7/20 0:00,Chicago,53820,150,458823,5229,2645,9
7/8/20 0:00,Chicago,54044,224,465460,6637,2650,5
7/9/20 0:00,Chicago,54344,300,473168,7708,2657,7
7/10/20 0:00,Chicago,54676,332,480990,7822,2666,9
7/11/20 0:00,Chicago,54968,292,489659,8669,2676,10
7/12/20 0:00,Chicago,55226,258,498697,9038,2683,7
7/13/20 0:00,Chicago,55399,173,506841,8144,2688,5
7/14/20 0:00,Chicago,55583,184,511970,5129,2697,9
7/15/20 0:00,Chicago,55857,274,520276,8306,2702,5
7/16/20 0:00,Chicago,56190,333,528252,7976,2707,5
7/17/20 0:00,Chicago,56536,346,539206,10954,2716,9
7/18/20 0:00,Chicago,56780,244,549423,10217,2723,7
7/19/20 0:00,Chicago,56963,183,557268,7845,2728,5
7/20/20 0:00,Chicago,57150,187,565083,7815,2728,0
7/21/20 0:00,Chicago,57342,192,571490,6407,2732,4
7/22/20 0:00,Chicago,57694,352,578485,6995,2736,4
7/23/20 0:00,Chicago,58080,386,586719,8234,2742,6
7/24/20 0:00,Chicago,58445,365,597273,10554,2747,5
7/25/20 0:00,Chicago,58780,335,604996,7723,2748,1
7/26/20 0:00,Chicago,59135,355,615784,10788,2747,-1
7/27/20 0:00,Chicago,59403,268,622541,6757,2756,9
7/28/20 0:00,Chicago,59691,288,628935,6394,2765,9
7/29/20 0:00,Chicago,60002,311,635540,6605,2770,5
7/30/20 0:00,Chicago,60372,370,644426,8886,2775,5
7/31/20 0:00,Chicago,60827,455,655018,10592,2783,8
8/1/20 0:00,Chicago,61205,378,664403,9385,2786,3
8/2/20 0:00,Chicago,61601,396,673545,9142,2786,0
8/3/20 0:00,Chicago,61942,341,680389,6844,2789,3
8/4/20 0:00,Chicago,62145,203,690334,9945,2791,2
8/5/20 0:00,Chicago,62457,312,698425,8091,2798,7
8/6/20 0:00,Chicago,62807,350,705181,6756,2799,1
8/7/20 0:00,Chicago,63124,317,715108,9927,2807,8
8/8/20 0:00,Chicago,63577,453,725154,10046,2806,-1
8/9/20 0:00,Chicago,63876,299,734201,9047,2809,3
8/10/20 0:00,Chicago,64129,253,743003,8802,2809,0
8/11/20 0:00,Chicago,64356,227,750994,7991,2811,2
8/12/20 0:00,Chicago,64611,255,757023,6029,2812,1
8/13/20 0:00,Chicago,64994,383,763317,6294,2817,5
8/14/20 0:00,Chicago,65484,490,773746,10429,2822,5
8/15/20 0:00,Chicago,65801,317,783781,10035,2823,1
8/16/20 0:00,Chicago,66138,337,791657,7876,2828,5
8/17/20 0:00,Chicago,66431,293,801326,9669,2830,2
8/18/20 0:00,Chicago,66673,242,808806,7480,2831,1
8/19/20 0:00,Chicago,67110,437,816053,7247,2836,5
8/20/20 0:00,Chicago,67468,358,825395,9342,2837,1
8/21/20 0:00,Chicago,67915,447,835069,9674,2844,7
8/22/20 0:00,Chicago,68368,453,844987,9918,2850,6
8/23/20 0:00,Chicago,68722,354,853947,8960,2854,4
8/24/20 0:00,Chicago,69022,300,861910,7963,2855,1
8/25/20 0:00,Chicago,69266,244,869659,7749,2857,2
8/26/20 0:00,Chicago,69594,328,876706,7047,2861,4
8/27/20 0:00,Chicago,69815,221,882645,5939,2863,2
8/28/20 0:00,Chicago,70331,516,891062,8417,2868,5
8/29/20 0:00,Chicago,70549,218,899329,8267,2869,1
8/30/20 0:00,Chicago,70984,435,908207,8878,2875,6
8/31/20 0:00,Chicago,71285,301,916087,7880,2876,1
9/1/20 0:00,Chicago,71441,156,920970,4883,2879,3
9/2/20 0:00,Chicago,71725,284,926574,5604,2883,4
9/3/20 0:00,Chicago,71895,170,933263,6689,2887,4
9/4/20 0:00,Chicago,72613,718,953452,20189,2890,3
9/5/20 0:00,Chicago,73136,523,963666,10214,2893,3
9/6/20 0:00,Chicago,73346,210,971527,7861,2894,1
9/7/20 0:00,Chicago,73634,288,976629,5102,2896,2
9/8/20 0:00,Chicago,73828,194,985457,8828,2895,-1
9/9/20 0:00,Chicago,73956,128,991668,6211,2898,3
9/10/20 0:00,Chicago,74190,234,996729,5061,2899,1
9/11/20 0:00,Chicago,74566,376,1004688,7959,2903,4
9/12/20 0:00,Chicago,74894,328,1013339,8651,2913,10
9/13/20 0:00,Chicago,75152,258,1021655,8316,2916,3
9/14/20 0:00,Chicago,75409,257,1029586,7931,2916,0
9/15/20 0:00,Chicago,75594,185,1035235,5649,2919,3
9/16/20 0:00,Chicago,75842,248,1042355,7120,2923,4
9/17/20 0:00,Chicago,76242,400,1049848,7493,2922,-1
9/18/20 0:00,Chicago,76511,269,1061246,11398,2925,3
9/19/20 0:00,Chicago,76966,455,1072855,11609,2930,5
9/20/20 0:00,Chicago,77241,275,1082389,9534,2932,2
9/21/20 0:00,Chicago,77486,245,1088989,6600,2933,1
9/22/20 0:00,Chicago,77687,201,1095924,6935,2935,2
9/23/20 0:00,Chicago,77989,302,1102342,6418,2939,4
9/24/20 0:00,Chicago,78345,356,1110920,8578,2944,5
9/25/20 0:00,Chicago,78707,362,1122149,11229,2944,0
9/26/20 0:00,Chicago,79114,407,1133674,11525,2948,4
9/27/20 0:00,Chicago,79389,275,1143423,9749,2952,4
9/28/20 0:00,Chicago,79765,376,1151821,8398,2956,4
9/29/20 0:00,Chicago,79939,174,1159639,7818,2959,3
9/30/20 0:00,Chicago,80265,326,1166049,6410,2960,1
10/1/20 0:00,Chicago,80680,415,1176159,10110,2962,2
10/2/20 0:00,Chicago,81012,332,1188668,12509,2964,2
10/3/20 0:00,Chicago,81463,451,1201482,12814,2968,4
10/4/20 0:00,Chicago,81702,239,1211976,10494,2976,8
10/5/20 0:00,Chicago,82041,339,1220368,8392,2976,0
10/6/20 0:00,Chicago,82233,192,1228789,8421,2979,3
10/7/20 0:00,Chicago,82557,324,1235382,6593,2983,4
10/8/20 0:00,Chicago,83070,513,1247090,11708,2983,0
10/9/20 0:00,Chicago,83510,440,1260002,12912,2987,4
10/10/20 0:00,Chicago,84085,575,1272786,12784,2990,3
10/11/20 0:00,Chicago,84647,562,1286948,14162,2990,0
10/12/20 0:00,Chicago,85153,506,1297820,10872,2991,1
