ReportDate,RegionID,RegionDescription,TotalTests,PositiveTests,TestPositivity_RollingAvg,MedSurgAvailPct_Avg,ICUAvailPct_Avg,CLIAdmissions_RollingAvg,COVIDHospitalBedsInUse
6/13/20 0:00,10,Suburban Cook,4683,271,6.3,27.00%,36.00%,18,746
6/14/20 0:00,10,Suburban Cook,4357,237,6.1,31.00%,38.00%,20,714
6/15/20 0:00,10,Suburban Cook,3825,195,5.7,33.00%,41.00%,24,689
6/16/20 0:00,10,Suburban Cook,6165,307,5.5,33.00%,40.00%,30,657
6/17/20 0:00,10,Suburban Cook,4620,225,5.3,31.00%,38.00%,28,635
6/18/20 0:00,10,Suburban Cook,4503,220,5.2,29.00%,35.00%,26,619
6/19/20 0:00,10,Suburban Cook,5020,311,5.3,29.00%,35.00%,25,597
6/20/20 0:00,10,Suburban Cook,4873,277,5.3,28.00%,36.00%,25,579
6/21/20 0:00,10,Suburban Cook,3860,196,5.3,30.00%,38.00%,25,558
6/22/20 0:00,10,Suburban Cook,3624,219,5.4,31.00%,41.00%,25,533
6/23/20 0:00,10,Suburban Cook,4860,241,5.4,31.00%,40.00%,22,516
6/24/20 0:00,10,Suburban Cook,5532,228,5.2,30.00%,39.00%,21,500
6/25/20 0:00,10,Suburban Cook,6072,311,5.3,28.00%,37.00%,22,482
6/26/20 0:00,10,Suburban Cook,6451,251,4.9,28.00%,37.00%,21,472
6/27/20 0:00,10,Suburban Cook,4053,196,4.8,28.00%,38.00%,21,467
6/28/20 0:00,10,Suburban Cook,4960,181,4.6,30.00%,41.00%,21,459
6/29/20 0:00,10,Suburban Cook,5097,283,4.6,32.00%,43.00%,21,457
6/30/20 0:00,10,Suburban Cook,6624,288,4.5,32.00%,43.00%,22,458
7/1/20 0:00,10,Suburban Cook,6078,255,4.5,30.00%,41.00%,23,450
7/2/20 0:00,10,Suburban Cook,6532,289,4.4,29.00%,39.00%,23,442
7/3/20 0:00,10,Suburban Cook,6259,235,4.4,29.00%,39.00%,22,436
7/4/20 0:00,10,Suburban Cook,5684,258,4.3,30.00%,41.00%,22,431
7/5/20 0:00,10,Suburban Cook,3655,136,4.4,32.00%,44.00%,23,427
7/6/20 0:00,10,Suburban Cook,4853,191,4.2,33.00%,45.00%,23,424
7/7/20 0:00,10,Suburban Cook,6856,211,3.9,32.00%,45.00%,25,419
7/8/20 0:00,10,Suburban Cook,6766,344,4.1,29.00%,42.00%,25,422
7/9/20 0:00,10,Suburban Cook,7423,328,4.1,28.00%,40.00%,25,427
7/10/20 0:00,10,Suburban Cook,5682,321,4.4,27.00%,38.00%,26,427
7/11/20 0:00,10,Suburban Cook,8351,327,4.3,28.00%,37.00%,27,424
7/12/20 0:00,10,Suburban Cook,5931,230,4.3,30.00%,38.00%,26,426
7/13/20 0:00,10,Suburban Cook,4429,204,4.3,32.00%,40.00%,25,422
7/14/20 0:00,10,Suburban Cook,6813,302,4.5,31.00%,41.00%,25,416
7/15/20 0:00,10,Suburban Cook,8021,352,4.4,29.00%,39.00%,24,401
7/16/20 0:00,10,Suburban Cook,6595,286,4.4,26.00%,38.00%,25,390
7/17/20 0:00,10,Suburban Cook,7185,402,4.4,27.00%,37.00%,24,381
7/18/20 0:00,10,Suburban Cook,6176,323,4.6,28.00%,39.00%,22,376
7/19/20 0:00,10,Suburban Cook,6024,305,4.8,30.00%,40.00%,24,364
7/20/20 0:00,10,Suburban Cook,6107,328,4.9,31.00%,42.00%,26,363
7/21/20 0:00,10,Suburban Cook,6796,355,5,30.00%,40.00%,25,361
7/22/20 0:00,10,Suburban Cook,7035,368,5.2,28.00%,39.00%,25,365
7/23/20 0:00,10,Suburban Cook,7962,429,5.3,27.00%,38.00%,24,368
7/24/20 0:00,10,Suburban Cook,6809,409,5.4,27.00%,37.00%,25,371
7/25/20 0:00,10,Suburban Cook,6931,390,5.4,27.00%,35.00%,27,372
7/26/20 0:00,10,Suburban Cook,4921,299,5.5,28.00%,34.00%,25,380
7/27/20 0:00,10,Suburban Cook,4562,257,5.6,29.00%,35.00%,24,380
7/28/20 0:00,10,Suburban Cook,5318,312,5.7,29.00%,36.00%,23,380
7/29/20 0:00,10,Suburban Cook,7153,367,5.6,28.00%,36.00%,26,381
7/30/20 0:00,10,Suburban Cook,8518,495,5.7,27.00%,34.00%,26,377
7/31/20 0:00,10,Suburban Cook,6293,429,5.8,27.00%,33.00%,26,373
8/1/20 0:00,10,Suburban Cook,6442,359,5.8,28.00%,33.00%,27,373
8/2/20 0:00,10,Suburban Cook,4416,226,5.7,31.00%,36.00%,28,369
8/3/20 0:00,10,Suburban Cook,7245,389,5.7,33.00%,37.00%,29,371
8/4/20 0:00,10,Suburban Cook,7334,439,5.7,33.00%,36.00%,30,369
8/5/20 0:00,10,Suburban Cook,6838,380,5.8,30.00%,35.00%,29,366
8/6/20 0:00,10,Suburban Cook,8520,556,5.9,29.00%,34.00%,29,369
8/7/20 0:00,10,Suburban Cook,8387,509,5.8,28.00%,34.00%,30,372
8/8/20 0:00,10,Suburban Cook,7601,413,5.8,30.00%,35.00%,29,363
8/9/20 0:00,10,Suburban Cook,6258,369,5.9,32.00%,36.00%,31,357
8/10/20 0:00,10,Suburban Cook,7079,407,5.9,34.00%,38.00%,30,355
8/11/20 0:00,10,Suburban Cook,5587,345,5.9,33.00%,37.00%,28,355
8/12/20 0:00,10,Suburban Cook,6962,428,6,31.00%,36.00%,28,355
8/13/20 0:00,10,Suburban Cook,8008,513,6,28.00%,34.00%,29,353
8/14/20 0:00,10,Suburban Cook,8603,512,6,28.00%,34.00%,28,356
8/15/20 0:00,10,Suburban Cook,6487,407,6.1,29.00%,36.00%,29,371
8/16/20 0:00,10,Suburban Cook,7524,582,6.4,31.00%,37.00%,28,378
8/17/20 0:00,10,Suburban Cook,6825,421,6.4,32.00%,38.00%,28,375
