ReportDate,RegionID,RegionDescription,TotalTests,PositiveTests,TestPositivity_RollingAvg,MedSurgAvailPct_Avg,ICUAvailPct_Avg,CLIAdmissions_RollingAvg,COVIDHospitalBedsInUse
6/13/20 0:00,11,Chicago,5486,329,7.2,34.00%,41.00%,22,816
6/14/20 0:00,11,Chicago,4664,305,6.8,36.00%,42.00%,28,784
6/15/20 0:00,11,Chicago,4487,236,6.3,37.00%,44.00%,35,748
6/16/20 0:00,11,Chicago,5943,334,6.2,36.00%,44.00%,41,719
6/17/20 0:00,11,Chicago,4870,233,5.8,34.00%,42.00%,41,695
6/18/20 0:00,11,Chicago,5108,299,5.8,32.00%,41.00%,42,673
6/19/20 0:00,11,Chicago,5107,316,5.8,31.00%,40.00%,43,653
6/20/20 0:00,11,Chicago,5959,288,5.6,31.00%,41.00%,41,645
6/21/20 0:00,11,Chicago,3978,144,5.2,34.00%,40.00%,38,630
6/22/20 0:00,11,Chicago,4426,206,5.1,35.00%,42.00%,36,621
6/23/20 0:00,11,Chicago,5331,212,4.9,34.00%,42.00%,35,611
6/24/20 0:00,11,Chicago,6571,301,4.8,32.00%,42.00%,35,597
6/25/20 0:00,11,Chicago,6933,347,4.7,31.00%,42.00%,33,579
6/26/20 0:00,11,Chicago,7307,396,4.7,31.00%,43.00%,31,569
6/27/20 0:00,11,Chicago,6716,327,4.7,32.00%,44.00%,31,554
6/28/20 0:00,11,Chicago,6672,241,4.6,34.00%,44.00%,32,544
6/29/20 0:00,11,Chicago,6183,312,4.7,36.00%,45.00%,31,530
6/30/20 0:00,11,Chicago,7151,304,4.7,35.00%,45.00%,31,512
7/1/20 0:00,11,Chicago,6601,266,4.6,33.00%,44.00%,29,523
7/2/20 0:00,11,Chicago,7870,350,4.5,31.00%,41.00%,30,513
7/3/20 0:00,11,Chicago,9385,431,4.4,32.00%,41.00%,32,503
7/4/20 0:00,11,Chicago,7220,334,4.4,34.00%,42.00%,30,494
7/5/20 0:00,11,Chicago,5332,236,4.5,36.00%,43.00%,30,492
7/6/20 0:00,11,Chicago,5227,171,4.3,37.00%,43.00%,28,479
7/7/20 0:00,11,Chicago,6641,206,4.1,36.00%,41.00%,27,481
7/8/20 0:00,11,Chicago,7705,305,4.1,33.00%,39.00%,27,457
7/9/20 0:00,11,Chicago,7820,333,4.1,31.00%,37.00%,26,459
7/10/20 0:00,11,Chicago,8672,388,4.1,30.00%,38.00%,25,458
7/11/20 0:00,11,Chicago,9036,374,4,30.00%,39.00%,25,458
7/12/20 0:00,11,Chicago,8147,301,3.9,31.00%,40.00%,25,453
7/13/20 0:00,11,Chicago,5127,199,4,33.00%,40.00%,27,456
7/14/20 0:00,11,Chicago,8307,324,4.1,32.00%,41.00%,27,453
7/15/20 0:00,11,Chicago,7979,306,4,31.00%,41.00%,26,451
7/16/20 0:00,11,Chicago,10953,402,3.9,28.00%,40.00%,27,450
7/17/20 0:00,11,Chicago,10215,445,3.9,27.00%,40.00%,29,448
7/18/20 0:00,11,Chicago,7845,284,3.9,28.00%,40.00%,30,449
7/19/20 0:00,11,Chicago,7817,297,3.9,31.00%,42.00%,31,450
7/20/20 0:00,11,Chicago,6403,231,3.8,33.00%,43.00%,30,448
7/21/20 0:00,11,Chicago,6997,306,3.9,32.00%,43.00%,31,440
7/22/20 0:00,11,Chicago,8234,401,4,30.00%,41.00%,32,434
7/23/20 0:00,11,Chicago,10554,451,4.2,28.00%,39.00%,32,430
7/24/20 0:00,11,Chicago,7723,392,4.3,28.00%,39.00%,29,427
7/25/20 0:00,11,Chicago,10787,560,4.5,29.00%,40.00%,30,425
7/26/20 0:00,11,Chicago,6757,339,4.7,31.00%,42.00%,30,421
7/27/20 0:00,11,Chicago,6396,290,4.8,32.00%,43.00%,30,414
7/28/20 0:00,11,Chicago,6603,295,4.8,31.00%,43.00%,29,417
7/29/20 0:00,11,Chicago,8906,372,4.7,29.00%,43.00%,28,414
7/30/20 0:00,11,Chicago,10574,523,4.8,29.00%,40.00%,28,411
7/31/20 0:00,11,Chicago,9384,490,4.8,28.00%,40.00%,30,406
8/1/20 0:00,11,Chicago,9141,529,4.9,28.00%,40.00%,29,401
8/2/20 0:00,11,Chicago,6867,359,4.9,29.00%,42.00%,28,398
8/3/20 0:00,11,Chicago,9924,418,4.9,31.00%,43.00%,28,402
8/4/20 0:00,11,Chicago,8091,366,4.9,31.00%,43.00%,28,402
8/5/20 0:00,11,Chicago,6758,378,5,29.00%,42.00%,30,403
8/6/20 0:00,11,Chicago,9922,509,5.1,27.00%,41.00%,29,405
8/7/20 0:00,11,Chicago,10049,532,5.1,27.00%,40.00%,27,416
8/8/20 0:00,11,Chicago,9043,424,4.9,28.00%,40.00%,26,425
8/9/20 0:00,11,Chicago,8805,486,5,30.00%,40.00%,27,428
8/10/20 0:00,11,Chicago,7992,377,5.1,30.00%,41.00%,26,426
8/11/20 0:00,11,Chicago,6027,272,5.1,29.00%,42.00%,26,425
8/12/20 0:00,11,Chicago,6295,301,5,27.00%,42.00%,25,431
8/13/20 0:00,11,Chicago,10431,522,5,26.00%,40.00%,26,436
8/14/20 0:00,11,Chicago,10033,562,5,26.00%,39.00%,27,425
8/15/20 0:00,11,Chicago,7876,339,5,26.00%,40.00%,28,424
8/16/20 0:00,11,Chicago,9689,603,5.1,28.00%,42.00%,27,428
8/17/20 0:00,11,Chicago,7483,349,5.1,30.00%,44.00%,28,433
8/18/20 0:00,11,Chicago,7229,362,5.1,29.00%,43.00%,30,428
8/19/20 0:00,11,Chicago,9348,469,5.2,28.00%,43.00%,30,414
8/20/20 0:00,11,Chicago,9677,541,5.3,26.00%,41.00%,29,405
8/21/20 0:00,11,Chicago,9908,491,5.2,26.00%,41.00%,28,402
8/22/20 0:00,11,Chicago,8960,547,5.4,26.00%,41.00%,30,386
8/23/20 0:00,11,Chicago,7967,444,5.3,27.00%,43.00%,31,373
8/24/20 0:00,11,Chicago,7758,477,5.5,27.00%,43.00%,29,362
8/25/20 0:00,11,Chicago,7045,373,5.5,26.00%,43.00%,28,360
8/26/20 0:00,11,Chicago,5935,323,5.6,25.00%,41.00%,30,365
8/27/20 0:00,11,Chicago,8410,479,5.6,23.00%,39.00%,30,364
8/28/20 0:00,11,Chicago,8267,394,5.6,23.00%,38.00%,31,364
8/29/20 0:00,11,Chicago,8880,526,5.6,24.00%,38.00%,29,364
8/30/20 0:00,11,Chicago,7882,492,5.7,26.00%,39.00%,30,363
8/31/20 0:00,11,Chicago,4877,328,5.7,29.00%,41.00%,32,364
9/1/20 0:00,11,Chicago,5603,241,5.6,29.00%,41.00%,30,367
9/2/20 0:00,11,Chicago,6687,281,5.4,28.00%,40.00%,29,368
9/3/20 0:00,11,Chicago,20212,882,5,26.00%,38.00%,28,369
9/4/20 0:00,11,Chicago,10214,577,5.2,26.00%,38.00%,29,368
9/5/20 0:00,11,Chicago,7853,467,5.2,27.00%,40.00%,28,374
9/6/20 0:00,11,Chicago,5092,302,5.1,29.00%,42.00%,25,375
9/7/20 0:00,11,Chicago,8830,529,5.1,31.00%,43.00%,24,372
9/8/20 0:00,11,Chicago,6214,300,5.1,33.00%,44.00%,24,364
9/9/20 0:00,11,Chicago,5059,198,5.1,32.00%,43.00%,24,358
9/10/20 0:00,11,Chicago,7959,321,5.3,29.00%,42.00%,23,356
9/11/20 0:00,11,Chicago,8658,504,5.3,27.00%,41.00%,21,356
9/12/20 0:00,11,Chicago,8308,462,5.2,27.00%,39.00%,22,348
9/13/20 0:00,11,Chicago,7931,392,5.1,27.00%,35.00%,22,344
9/14/20 0:00,11,Chicago,5647,299,5,27.00%,36.00%,21,341
9/15/20 0:00,11,Chicago,7134,297,4.9,26.00%,34.00%,19,349
9/16/20 0:00,11,Chicago,7495,349,4.9,25.00%,34.00%,19,348
9/17/20 0:00,11,Chicago,11401,537,5,23.00%,31.00%,20,342
9/18/20 0:00,11,Chicago,11599,475,4.7,22.00%,31.00%,18,341
9/19/20 0:00,11,Chicago,9533,527,4.7,23.00%,32.00%,18,344
9/20/20 0:00,11,Chicago,6596,360,4.8,26.00%,34.00%,19,343
9/21/20 0:00,11,Chicago,6942,258,4.6,27.00%,36.00%,18,343
9/22/20 0:00,11,Chicago,6418,231,4.6,26.00%,36.00%,20,341
9/23/20 0:00,11,Chicago,8577,394,4.6,24.00%,35.00%,20,352
9/24/20 0:00,11,Chicago,11243,464,4.4,23.00%,32.00%,20,360
9/25/20 0:00,11,Chicago,11639,518,4.5,22.00%,31.00%,20,365
9/26/20 0:00,11,Chicago,9626,447,4.4,23.00%,31.00%,21,367
9/27/20 0:00,11,Chicago,8390,479,4.4,24.00%,30.00%,22,364
9/28/20 0:00,11,Chicago,7822,374,4.6,26.00%,32.00%,25,365
9/29/20 0:00,11,Chicago,6406,272,4.6,26.00%,33.00%,24,367
9/30/20 0:00,11,Chicago,10120,385,4.5,26.00%,34.00%,23,356
10/1/20 0:00,11,Chicago,12508,591,4.6,24.00%,34.00%,22,354
10/2/20 0:00,11,Chicago,12815,458,4.4,24.00%,33.00%,21,347
10/3/20 0:00,11,Chicago,10494,493,4.5,25.00%,32.00%,21,347
10/4/20 0:00,11,Chicago,8385,397,4.3,27.00%,32.00%,20,353
10/5/20 0:00,11,Chicago,8426,393,4.3,28.00%,34.00%,22,357
10/6/20 0:00,11,Chicago,6586,284,4.3,28.00%,34.00%,23,355
10/7/20 0:00,11,Chicago,11715,449,4.3,26.00%,33.00%,24,358
10/8/20 0:00,11,Chicago,12922,608,4.3,23.00%,30.00%,26,358
10/9/20 0:00,11,Chicago,12786,631,4.6,22.00%,29.00%,28,364
10/10/20 0:00,11,Chicago,14131,752,4.7,23.00%,28.00%,28,367
10/11/20 0:00,11,Chicago,10882,665,4.9,25.00%,30.00%,30,371
10/12/20 0:00,11,Chicago,10556,766,5.2,27.00%,33.00%,29,375
10/13/20 0:00,11,Chicago,8382,557,5.4,27.00%,34.00%,28,385
10/14/20 0:00,11,Chicago,8709,492,5.7,25.00%,32.00%,28,392
10/15/20 0:00,11,Chicago,14610,937,6,22.00%,30.00%,30,396
10/16/20 0:00,11,Chicago,14578,903,6.2,22.00%,31.00%,29,404
10/17/20 0:00,11,Chicago,16706,1370,6.7,22.00%,31.00%,30,407
10/18/20 0:00,11,Chicago,11169,883,7,25.00%,32.00%,33,413
10/19/20 0:00,11,Chicago,10455,795,7,25.00%,32.00%,32,418
10/20/20 0:00,11,Chicago,9773,679,7,25.00%,33.00%,36,425
10/21/20 0:00,11,Chicago,14137,1123,7.3,23.00%,32.00%,40,444
10/22/20 0:00,11,Chicago,15414,1203,7.5,22.00%,31.00%,41,462
10/23/20 0:00,11,Chicago,14053,987,7.7,21.00%,30.00%,41,475
10/24/20 0:00,11,Chicago,14344,1274,7.8,22.00%,29.00%,43,492
10/25/20 0:00,11,Chicago,12893,1304,8.1,24.00%,30.00%,45,508
10/26/20 0:00,11,Chicago,11295,1010,8.2,25.00%,32.00%,47,525
10/27/20 0:00,11,Chicago,10261,868,8.4,24.00%,33.00%,51,543
10/28/20 0:00,11,Chicago,11722,1097,8.6,23.00%,31.00%,54,558
10/29/20 0:00,11,Chicago,18339,1808,9,22.00%,29.00%,56,573
10/30/20 0:00,11,Chicago,17412,1993,9.7,22.00%,29.00%,60,588
10/31/20 0:00,11,Chicago,19521,2279,10.2,23.00%,29.00%,65,614
11/1/20 0:00,11,Chicago,15902,1848,10.4,24.00%,29.00%,67,644
11/2/20 0:00,11,Chicago,14985,1759,10.8,25.00%,30.00%,72,666
11/3/20 0:00,11,Chicago,11229,1220,11,25.00%,30.00%,73,693
11/4/20 0:00,11,Chicago,14510,1857,11.4,24.00%,29.00%,73,714
11/5/20 0:00,11,Chicago,16065,2108,11.9,23.00%,27.00%,79,742
11/6/20 0:00,11,Chicago,17132,2293,12.2,22.00%,27.00%,84,777
11/7/20 0:00,11,Chicago,17312,2666,12.8,23.00%,26.00%,89,803
11/8/20 0:00,11,Chicago,14187,2181,13.4,25.00%,28.00%,94,828
11/9/20 0:00,11,Chicago,19846,3004,13.9,26.00%,30.00%,99,864
11/10/20 0:00,11,Chicago,15088,2333,14.4,24.00%,30.00%,102,898
11/11/20 0:00,11,Chicago,15568,2179,14.6,22.00%,28.00%,112,936
11/12/20 0:00,11,Chicago,18712,3298,15.2,20.00%,25.00%,112,974
11/13/20 0:00,11,Chicago,21629,3372,15.6,21.00%,27.00%,108,999
11/14/20 0:00,11,Chicago,20365,3066,15.5,23.00%,29.00%,112,1028
11/15/20 0:00,11,Chicago,16724,2575,15.5,25.00%,31.00%,118,1056
11/16/20 0:00,11,Chicago,19544,2783,15.4,26.00%,32.00%,118,1083
11/17/20 0:00,11,Chicago,17318,2158,15,27.00%,32.00%,118,1111
11/18/20 0:00,11,Chicago,17880,2428,14.9,26.00%,31.00%,115,1132
11/19/20 0:00,11,Chicago,20386,2746,14.3,23.00%,27.00%,110,1156
11/20/20 0:00,11,Chicago,22872,3106,14,21.00%,23.00%,112,1190
11/21/20 0:00,11,Chicago,18724,2526,13.7,20.00%,20.00%,108,1217
11/22/20 0:00,11,Chicago,21732,2143,12.9,20.00%,22.00%,106,1248
11/23/20 0:00,11,Chicago,17404,2087,12.6,21.00%,24.00%,103,1262
11/24/20 0:00,11,Chicago,22484,2536,12.4,20.00%,23.00%,98,1272
11/25/20 0:00,11,Chicago,23130,2478,12,20.00%,22.00%,98,1284
11/26/20 0:00,11,Chicago,18801,2429,11.9,22.00%,22.00%,96,1282
11/27/20 0:00,11,Chicago,14686,1848,11.7,25.00%,23.00%,95,1272
11/28/20 0:00,11,Chicago,10353,1329,11.5,26.00%,25.00%,100,1269
11/29/20 0:00,11,Chicago,11229,1439,12,25.00%,26.00%,100,1258
11/30/20 0:00,11,Chicago,17414,1936,11.9,23.00%,25.00%,99,1258
12/1/20 0:00,11,Chicago,14057,1998,12.3,21.00%,23.00%,100,1259
12/2/20 0:00,11,Chicago,18145,2126,12.5,20.00%,21.00%,99,1249
12/3/20 0:00,11,Chicago,19668,2589,12.6,18.00%,20.00%,101,1244
12/4/20 0:00,11,Chicago,18438,2238,12.5,17.00%,19.00%,97,1239
12/5/20 0:00,11,Chicago,15159,2000,12.6,17.00%,20.00%,95,1221
12/6/20 0:00,11,Chicago,15946,2157,12.7,19.00%,21.00%,98,1210
12/7/20 0:00,11,Chicago,15893,1966,12.9,20.00%,21.00%,96,1202
12/8/20 0:00,11,Chicago,12615,1290,12.4,19.00%,20.00%,90,1186
12/9/20 0:00,11,Chicago,18927,2158,12.3,18.00%,19.00%,91,1171
12/10/20 0:00,11,Chicago,18607,2620,12.5,18.00%,20.00%,90,1161
12/11/20 0:00,11,Chicago,19037,2376,12.5,18.00%,20.00%,87,1149
12/12/20 0:00,11,Chicago,11356,1340,12.4,18.00%,19.00%,90,1151
12/13/20 0:00,11,Chicago,19130,2175,12,19.00%,20.00%,90,1142
12/14/20 0:00,11,Chicago,16716,2160,12.1,19.00%,21.00%,91,1128
12/15/20 0:00,11,Chicago,15571,1469,12,18.00%,22.00%,92,1117
12/16/20 0:00,11,Chicago,15397,1604,11.9,17.00%,21.00%,90,1113
12/17/20 0:00,11,Chicago,16091,1674,11.3,17.00%,21.00%,85,1104
12/18/20 0:00,11,Chicago,17407,1792,10.9,16.00%,21.00%,81,1093
12/19/20 0:00,11,Chicago,15590,1326,10.5,16.00%,23.00%,82,1071
12/20/20 0:00,11,Chicago,20882,1529,9.8,17.00%,24.00%,76,1058
12/21/20 0:00,11,Chicago,15250,1376,9.3,19.00%,26.00%,69,1053
12/22/20 0:00,11,Chicago,14195,1366,9.3,19.00%,25.00%,76,1052
12/23/20 0:00,11,Chicago,17710,1421,9,18.00%,24.00%,75,1040
12/24/20 0:00,11,Chicago,16187,1225,8.6,18.00%,23.00%,71,1027
12/25/20 0:00,11,Chicago,13799,1068,8.2,20.00%,26.00%,64,1012
12/26/20 0:00,11,Chicago,10172,1032,8.3,24.00%,27.00%,66,1003
12/27/20 0:00,11,Chicago,11680,1083,8.7,25.00%,27.00%,70,997
12/28/20 0:00,11,Chicago,10643,998,8.7,25.00%,25.00%,70,986
12/29/20 0:00,11,Chicago,11741,1169,8.7,22.00%,25.00%,69,975
12/30/20 0:00,11,Chicago,14299,1482,9.1,19.00%,23.00%,63,974
12/31/20 0:00,11,Chicago,16940,1855,9.7,18.00%,24.00%,64,970
1/1/21 0:00,11,Chicago,13698,1318,10,19.00%,24.00%,61,964
1/2/21 0:00,11,Chicago,6925,710,10,21.00%,25.00%,63,948
1/3/21 0:00,11,Chicago,11268,1172,10.2,22.00%,26.00%,61,937
1/4/21 0:00,11,Chicago,13050,1527,10.5,22.00%,26.00%,62,917
1/5/21 0:00,11,Chicago,12644,1306,10.5,21.00%,26.00%,62,896
1/6/21 0:00,11,Chicago,17032,1592,10.4,18.00%,25.00%,65,874
1/7/21 0:00,11,Chicago,18439,1887,10.2,17.00%,24.00%,67,855
1/8/21 0:00,11,Chicago,18305,1829,10.3,16.00%,24.00%,65,845
1/9/21 0:00,11,Chicago,15585,1447,10.1,16.00%,23.00%,66,841
1/10/21 0:00,11,Chicago,13290,1193,10,17.00%,26.00%,66,826
1/11/21 0:00,11,Chicago,12779,1292,9.8,18.00%,28.00%,66,814
1/12/21 0:00,11,Chicago,11590,874,9.5,18.00%,27.00%,64,810
1/13/21 0:00,11,Chicago,19703,1542,9.2,18.00%,26.00%,65,799
1/14/21 0:00,11,Chicago,16662,1349,8.8,16.00%,25.00%,60,788
