CountyName,AdministeredCount,AdministeredCountChange,AdministeredCountRollAvg,PersonsWithOneDose,PersonsFullyVaccinated,BoosterDoseCount,ReportDate,PctVaccinatedOneDosePopulation,PctFullyVaccinatedPopulation
Chicago,74,74,11,74,0,0,12/16/20 0:00,2.73E-05,0
Chicago,810,736,116,810,0,0,12/17/20 0:00,0.000299335,0
Chicago,4216,3406,602,4216,0,0,12/18/20 0:00,0.001558023,0
Chicago,6790,2574,970,6790,0,0,12/19/20 0:00,0.002509244,0
Chicago,8250,1460,1179,8250,0,0,12/20/20 0:00,0.003048787,0
Chicago,11528,3278,1647,11528,0,0,12/21/20 0:00,0.004260172,0
Chicago,13582,2054,1940,13582,0,0,12/22/20 0:00,0.005019228,0
Chicago,16523,2941,2350,16523,0,0,12/23/20 0:00,0.006106074,0
Chicago,18183,1660,2482,18183,0,0,12/24/20 0:00,0.006719527,0
Chicago,18603,420,2055,18603,0,0,12/25/20 0:00,0.006874738,0
Chicago,18811,208,1717,18811,0,0,12/26/20 0:00,0.006951604,0
Chicago,19049,238,1543,19049,0,0,12/27/20 0:00,0.007039557,0
Chicago,19722,673,1171,19722,0,0,12/28/20 0:00,0.007288264,0
Chicago,22134,2412,1222,22134,0,0,12/29/20 0:00,0.008179619,0
Chicago,25409,3275,1269,25409,0,0,12/30/20 0:00,0.009389895,0
Chicago,28638,3229,1494,28638,0,0,12/31/20 0:00,0.010583172,0
Chicago,29723,1085,1589,29723,0,0,1/1/21 0:00,0.010984134,0
Chicago,30203,480,1627,30203,0,0,1/2/21 0:00,0.011161518,0
Chicago,30807,604,1680,30807,0,0,1/3/21 0:00,0.011384726,0
Chicago,33327,2520,1944,33279,48,0,1/4/21 0:00,0.012298253,1.77E-05
Chicago,37748,4421,2231,37525,223,0,1/5/21 0:00,0.013867363,8.24E-05
Chicago,41249,3501,2263,40658,591,0,1/6/21 0:00,0.015025163,0.000218404
Chicago,45178,3929,2363,42955,2223,0,1/7/21 0:00,0.015874019,0.00082151
Chicago,52291,7113,3224,46253,6038,0,1/8/21 0:00,0.017092795,0.002231343
Chicago,58134,5843,3990,49308,8826,0,1/9/21 0:00,0.01822177,0.003261648
Chicago,61021,2887,4316,50778,10243,0,1/10/21 0:00,0.018765008,0.0037853
Chicago,65512,4491,4598,51981,13531,0,1/11/21 0:00,0.019209577,0.005000381
Chicago,70998,5486,4750,54978,16020,0,1/12/21 0:00,0.020317118,0.005920191
Chicago,77428,6430,5168,58827,18601,0,1/13/21 0:00,0.021739516,0.006873999
Chicago,84618,7190,5634,63289,21329,0,1/14/21 0:00,0.023388448,0.007882131
Chicago,89001,4383,5244,67163,21838,0,1/15/21 0:00,0.024820085,0.008070232
Chicago,92237,3236,4872,69972,22265,0,1/16/21 0:00,0.02585815,0.00822803
Chicago,94123,1886,4729,71589,22534,0,1/17/21 0:00,0.026455713,0.008327439
Chicago,97338,3215,4547,73261,24077,0,1/18/21 0:00,0.0270736,0.008897655
Chicago,102178,4840,4454,76903,25275,0,1/19/21 0:00,0.028419501,0.009340375
Chicago,108336,6158,4415,80838,27498,0,1/20/21 0:00,0.02987368,0.010161885
Chicago,116776,8440,4594,86817,29959,0,1/21/21 0:00,0.03208322,0.011071348
Chicago,125560,8784,5223,94316,31244,0,1/22/21 0:00,0.034854475,0.011546219
Chicago,132450,6890,5745,100520,31930,0,1/23/21 0:00,0.037147163,0.011799731
Chicago,136139,3689,6002,103581,32558,0,1/24/21 0:00,0.038278355,0.012031808
Chicago,140497,4358,6166,106807,33690,0,1/25/21 0:00,0.039470524,0.012450138
Chicago,149344,8847,6738,112543,36801,0,1/26/21 0:00,0.041590262,0.013599808
Chicago,157914,8570,7083,118628,39286,0,1/27/21 0:00,0.043838974,0.01451814
Chicago,168163,10249,7341,126651,41512,0,1/28/21 0:00,0.046803873,0.015340758
Chicago,178902,10739,7620,135606,43296,0,1/29/21 0:00,0.050113193,0.016000035
Chicago,187313,8411,7838,142793,44520,0,1/30/21 0:00,0.052769149,0.016452365
Chicago,190881,3568,7820,145413,45468,0,1/31/21 0:00,0.05373737,0.016802698
Chicago,196844,5963,8050,150097,46747,0,2/1/21 0:00,0.055468342,0.017275352
Chicago,208813,11969,8496,158418,50395,0,2/2/21 0:00,0.058543367,0.018623471
Chicago,218468,9655,8651,165680,52788,0,2/3/21 0:00,0.061227039,0.019507804
Chicago,231607,13139,9063,175349,56258,0,2/4/21 0:00,0.064800218,0.020790142
Chicago,243920,12313,9288,185150,58770,0,2/5/21 0:00,0.068422177,0.021718452
Chicago,254969,11049,9665,193715,61254,0,2/6/21 0:00,0.071587372,0.022636414
Chicago,257973,3004,9585,195733,62240,0,2/7/21 0:00,0.072333124,0.02300079
Chicago,268516,10543,10239,203747,64769,0,2/8/21 0:00,0.075294698,0.023935382
Chicago,280454,11938,10234,212263,68191,0,2/9/21 0:00,0.078441785,0.025199982
Chicago,291044,10590,10368,219003,72041,0,2/10/21 0:00,0.080932552,0.026622749
Chicago,310876,19832,11324,231864,79012,0,2/11/21 0:00,0.085685334,0.029198882
Chicago,325871,14995,11707,240018,85853,0,2/12/21 0:00,0.088698645,0.031726974
Chicago,338776,12905,11972,247548,91228,0,2/13/21 0:00,0.091481356,0.033713305
Chicago,346222,7446,12607,252379,93843,0,2/14/21 0:00,0.093266652,0.034679678
Chicago,353277,7055,12109,258328,94949,0,2/15/21 0:00,0.095465105,0.0350884
Chicago,359991,6714,11362,262307,97684,0,2/16/21 0:00,0.096935544,0.036099119
Chicago,371760,11769,11531,269172,102588,0,2/17/21 0:00,0.099472504,0.037911392
Chicago,384985,13225,10587,275972,109013,0,2/18/21 0:00,0.101985444,0.040285751
Chicago,398039,13054,10310,282410,115629,0,2/19/21 0:00,0.104364607,0.042730693
Chicago,399694,1655,8703,282986,116708,0,2/20/21 0:00,0.104577468,0.043129438
Chicago,413011,13317,9541,289179,123832,0,2/21/21 0:00,0.106866091,0.045762112
Chicago,420208,7197,9562,292867,127341,0,2/22/21 0:00,0.108228991,0.047058863
Chicago,431190,10982,10171,297892,133298,0,2/23/21 0:00,0.110085979,0.049260272
Chicago,452283,21093,11503,311015,141268,0,2/24/21 0:00,0.114935584,0.052205585
Chicago,468059,15776,11868,319130,148929,0,2/25/21 0:00,0.117934482,0.055036707
Chicago,484456,16397,12345,326566,157890,0,2/26/21 0:00,0.120682455,0.058348245
Chicago,501317,16861,14518,335645,165672,0,2/27/21 0:00,0.124037599,0.061224083
Chicago,508266,6949,13608,339854,168412,0,2/28/21 0:00,0.125593035,0.062236649
Chicago,519974,11708,14252,346590,173384,0,3/1/21 0:00,0.128082324,0.064074052
Chicago,533716,13742,14647,354220,179496,0,3/2/21 0:00,0.13090199,0.066332741
Chicago,549545,15829,13895,362534,187013,0,3/3/21 0:00,0.133974429,0.069110648
Chicago,570373,20828,14616,372647,197778,0,3/4/21 0:00,0.137711687,0.073088854
Chicago,588888,18515,14919,383635,205484,0,3/5/21 0:00,0.141772303,0.075936606
Chicago,605239,16351,14846,392746,212993,0,3/6/21 0:00,0.145139272,0.078711557
Chicago,608948,3709,14383,394734,214827,0,3/7/21 0:00,0.145873938,0.079389311
Chicago,621926,12978,14565,401970,221403,0,3/8/21 0:00,0.148548001,0.081819472
Chicago,638399,16473,14955,412013,228558,0,3/9/21 0:00,0.152259392,0.084463602
Chicago,656771,18372,15318,422602,237178,0,3/10/21 0:00,0.156172556,0.087649123
Chicago,673312,16541,14706,432691,244379,0,3/11/21 0:00,0.159900946,0.090310252
Chicago,699457,26145,15796,449788,254326,0,3/12/21 0:00,0.166219142,0.093986166
Chicago,720078,20621,16406,463619,262135,0,3/13/21 0:00,0.171330387,0.096871981
Chicago,733713,13635,17824,471432,268365,0,3/14/21 0:00,0.174217681,0.099174278
Chicago,751215,17502,18470,483487,274470,0,3/15/21 0:00,0.178672606,0.10143038
Chicago,772496,21281,19157,498379,281759,0,3/16/21 0:00,0.184175944,0.10412403
Chicago,792267,19771,19357,511785,288673,0,3/17/21 0:00,0.189130131,0.106679098
Chicago,816852,24585,20506,529827,296401,0,3/18/21 0:00,0.195797552,0.10953498
Chicago,841813,24961,20337,548237,303743,0,3/19/21 0:00,0.202600967,0.112248216
Chicago,861795,19982,20245,563272,310523,0,3/20/21 0:00,0.20815715,0.114753765
Chicago,871137,9342,19632,570949,312648,0,3/21/21 0:00,0.210994186,0.115539059
Chicago,890471,19334,19894,585375,318221,0,3/22/21 0:00,0.216325313,0.117598561
Chicago,912109,21638,19945,601662,324469,0,3/23/21 0:00,0.222344174,0.119907509
Chicago,935986,23877,20531,620346,330354,0,3/24/21 0:00,0.229248845,0.122082311
Chicago,962211,26225,20766,639940,337844,0,3/25/21 0:00,0.236489807,0.12485024
Chicago,991920,29709,21444,659155,349103,0,3/26/21 0:00,0.24359071,0.129011003
Chicago,1020833,28913,22720,675431,362337,0,3/27/21 0:00,0.249605505,0.133901627
Chicago,1031911,11078,22968,683960,365478,0,3/28/21 0:00,0.252757397,0.135062384
Chicago,1054315,22404,23406,700880,371740,0,3/29/21 0:00,0.259010183,0.137376506
Chicago,1082765,28450,24379,719139,382982,0,3/30/21 0:00,0.265757795,0.141530986
Chicago,1109792,27027,24829,737509,392815,0,3/31/21 0:00,0.272546428,0.145164771
Chicago,1139771,29979,25366,757551,403823,0,4/1/21 0:00,0.279952949,0.149232777
Chicago,1173336,33565,25917,778720,417463,0,4/2/21 0:00,0.287775952,0.154273439
Chicago,1199928,26592,25585,793597,430643,0,4/3/21 0:00,0.293273747,0.159144107
Chicago,1209096,9168,25312,796876,436866,0,4/4/21 0:00,0.294485501,0.161443817
Chicago,1233468,24372,25593,810165,449439,0,4/5/21 0:00,0.299396451,0.166090169
Chicago,1262991,29523,25747,827012,464125,0,4/6/21 0:00,0.305622259,0.17151738
Chicago,1298389,35398,26942,848336,481129,0,4/7/21 0:00,0.313502543,0.177801207
