ReportDate,CasesChange_Chiacgo,CasesChange_CookCounty
3/17/20 0:00,0,107
3/18/20 0:00,0,71
3/19/20 0:00,0,100
3/20/20 0:00,0,133
3/21/20 0:00,0,137
3/22/20 0:00,519,-262
3/24/20 0:00,263,126
3/25/20 0:00,133,91
3/26/20 0:00,246,240
3/27/20 0:00,203,132
3/28/20 0:00,246,128
3/29/20 0:00,416,416
3/30/20 0:00,172,110
3/31/20 0:00,495,274
4/1/20 0:00,394,262
4/2/20 0:00,192,231
4/3/20 0:00,536,415
4/4/20 0:00,481,432
4/5/20 0:00,318,277
4/6/20 0:00,453,241
4/7/20 0:00,439,342
4/8/20 0:00,586,425
4/9/20 0:00,556,339
4/10/20 0:00,582,475
4/11/20 0:00,554,391
4/12/20 0:00,719,449
4/13/20 0:00,581,308
4/14/20 0:00,532,317
4/15/20 0:00,576,407
4/16/20 0:00,450,331
4/17/20 0:00,767,537
4/18/20 0:00,598,406
4/19/20 0:00,526,351
4/20/20 0:00,480,349
4/21/20 0:00,541,539
4/22/20 0:00,840,525
4/23/20 0:00,679,586
4/24/20 0:00,1039,766
4/25/20 0:00,997,445
4/26/20 0:00,756,760
4/27/20 0:00,817,562
4/28/20 0:00,912,584
4/29/20 0:00,819,612
4/30/20 0:00,1078,555
5/1/20 0:00,1227,928
5/2/20 0:00,898,661
5/3/20 0:00,1248,849
5/4/20 0:00,941,450
5/5/20 0:00,801,707
5/6/20 0:00,834,632
5/7/20 0:00,1001,651
5/8/20 0:00,1094,801
5/9/20 0:00,858,580
5/10/20 0:00,557,424
5/11/20 0:00,377,349
5/12/20 0:00,1230,859
5/13/20 0:00,517,419
5/14/20 0:00,1267,784
5/15/20 0:00,842,606
5/16/20 0:00,823,484
5/17/20 0:00,615,391
5/18/20 0:00,813,659
5/19/20 0:00,485,516
5/20/20 0:00,920,602
5/21/20 0:00,916,422
5/22/20 0:00,710,688
5/23/20 0:00,937,531
5/24/20 0:00,970,623
5/25/20 0:00,595,492
5/26/20 0:00,405,317
5/27/20 0:00,406,296
5/28/20 0:00,392,393
5/29/20 0:00,496,464
5/30/20 0:00,419,434
5/31/20 0:00,442,364
6/1/20 0:00,310,260
6/2/20 0:00,896,282
6/3/20 0:00,244,287
6/4/20 0:00,274,235
6/5/20 0:00,300,331
6/6/20 0:00,353,227
6/7/20 0:00,271,232
6/8/20 0:00,188,204
6/9/20 0:00,240,212
6/10/20 0:00,139,175
6/11/20 0:00,197,196
6/12/20 0:00,162,109
6/13/20 0:00,184,148
6/14/20 0:00,164,161
6/15/20 0:00,154,124
6/16/20 0:00,173,181
6/17/20 0:00,153,167
6/18/20 0:00,155,166
6/19/20 0:00,193,179
6/20/20 0:00,148,186
6/21/20 0:00,116,176
6/22/20 0:00,94,153
6/23/20 0:00,198,162
6/24/20 0:00,163,191
6/25/20 0:00,271,241
6/26/20 0:00,244,174
6/27/20 0:00,217,122
6/28/20 0:00,222,126
6/29/20 0:00,200,167
6/30/20 0:00,204,210
7/1/20 0:00,206,169
7/2/20 0:00,273,197
7/3/20 0:00,256,137
7/4/20 0:00,286,180
7/5/20 0:00,156,136
7/6/20 0:00,139,110
7/7/20 0:00,150,122
7/8/20 0:00,224,219
7/9/20 0:00,300,209
7/10/20 0:00,332,268
7/11/20 0:00,292,241
7/12/20 0:00,258,161
7/13/20 0:00,173,154
7/14/20 0:00,184,118
7/15/20 0:00,274,202
7/16/20 0:00,333,219
7/17/20 0:00,346,230
7/18/20 0:00,244,258
