date,clade
12/20/21,21K (Omicron)
5/10/22,22C (Omicron)
5/10/22,21L (Omicron)
5/8/22,22C (Omicron)
5/10/22,21L (Omicron)
5/10/22,22C (Omicron)
5/7/22,21L (Omicron)
5/11/22,21L (Omicron)
5/11/22,22C (Omicron)
5/11/22,22C (Omicron)
5/7/22,21L (Omicron)
5/13/22,21L (Omicron)
5/9/22,21L (Omicron)
5/11/22,21L (Omicron)
5/11/22,21L (Omicron)
4/17/22,21L (Omicron)
5/11/22,21L (Omicron)
5/17/22,22B (Omicron)
5/9/22,21L (Omicron)
5/7/22,22C (Omicron)
2/27/22,21K (Omicron)
5/14/22,21L (Omicron)
5/14/22,21L (Omicron)
5/7/22,21L (Omicron)
2/21/22,21K (Omicron)
2/28/22,21L (Omicron)
3/1/22,21L (Omicron)
5/14/22,22A (Omicron)
5/9/22,22B (Omicron)
5/9/22,22C (Omicron)
5/13/22,22C (Omicron)
3/31/22,21L (Omicron)
4/24/22,21L (Omicron)
5/1/22,21L (Omicron)
5/13/22,21L (Omicron)
5/6/22,21L (Omicron)
4/29/22,22C (Omicron)
5/7/22,22C (Omicron)
5/12/22,21L (Omicron)
5/6/22,22C (Omicron)
4/27/22,21L (Omicron)
5/7/22,21L (Omicron)
4/29/22,22C (Omicron)
5/12/22,21L (Omicron)
5/12/22,22C (Omicron)
4/20/22,21L (Omicron)
5/14/22,21L (Omicron)
1/21/22,21K (Omicron)
1/31/22,21K (Omicron)
1/26/22,21K (Omicron)
1/23/22,21K (Omicron)
1/12/22,21K (Omicron)
12/7/21,21J (Delta)
4/2/21,20I (Alpha
3/31/21,20I (Alpha
3/31/21,20G
4/1/21,20G
3/11/21,21C (Epsilon)
3/31/21,20J (Gamma
4/2/21,20I (Alpha
4/2/21,20I (Alpha
4/1/21,20J (Gamma
4/1/21,20C
3/29/21,20J (Gamma
3/31/21,20I (Alpha
3/31/21,20I (Alpha
3/31/21,21C (Epsilon)
5/21/20,20B
4/28/20,20A
3/31/21,20G
4/1/21,21F (Iota)
3/31/21,21C (Epsilon)
4/2/21,20I (Alpha
3/29/21,21C (Epsilon)
4/2/21,20B
4/2/21,20B
4/2/21,20I (Alpha
4/2/21,20I (Alpha
