CountyName,AdministeredCount,AdministeredCountChange,AdministeredCountRollAvg,PersonsWithOneDose,PersonsFullyVaccinated,BoosterDoseCount,ReportDate,PctVaccinatedOneDosePopulation,PctFullyVaccinatedPopulation
Cook,1,1,0,1,1,0,12/15/20 0:00,4.04E-07,4.04E-07
Cook,55,54,8,55,1,0,12/16/20 0:00,2.22E-05,4.04E-07
Cook,1096,1041,157,1096,1,0,12/17/20 0:00,0.000442918,4.04E-07
Cook,4705,3609,672,4705,1,0,12/18/20 0:00,0.001901395,4.04E-07
Cook,7723,3018,1103,7723,1,0,12/19/20 0:00,0.003121036,4.04E-07
Cook,8950,1227,1279,8950,1,0,12/20/20 0:00,0.003616894,4.04E-07
Cook,11892,2942,1699,11892,1,0,12/21/20 0:00,0.004805821,4.04E-07
Cook,13718,1826,1960,13718,1,0,12/22/20 0:00,0.005543748,4.04E-07
Cook,15670,1952,2231,15670,1,0,12/23/20 0:00,0.006332595,4.04E-07
Cook,16555,885,2208,16555,1,0,12/24/20 0:00,0.006690243,4.04E-07
Cook,16753,198,1721,16753,1,0,12/25/20 0:00,0.006770259,4.04E-07
Cook,16868,115,1306,16868,1,0,12/26/20 0:00,0.006816733,4.04E-07
Cook,16982,114,1147,16982,1,0,12/27/20 0:00,0.006862803,4.04E-07
Cook,17409,427,788,17409,1,0,12/28/20 0:00,0.007035364,4.04E-07
Cook,20075,2666,908,20075,1,0,12/29/20 0:00,0.008112753,4.04E-07
Cook,23363,3288,1099,23363,1,0,12/30/20 0:00,0.009441507,4.04E-07
Cook,25893,2530,1334,25893,1,0,12/31/20 0:00,0.010463936,4.04E-07
Cook,26606,713,1408,26606,1,0,1/1/21 0:00,0.010752075,4.04E-07
Cook,27347,741,1497,27347,1,0,1/2/21 0:00,0.01105153,4.04E-07
Cook,27917,570,1562,27917,1,0,1/3/21 0:00,0.01128188,4.04E-07
Cook,30669,2752,1894,30639,31,0,1/4/21 0:00,0.0123819,1.25E-05
Cook,34596,3927,2074,34478,119,0,1/5/21 0:00,0.013933325,4.81E-05
