,IDPHExport20220405043254528.csv_case_count,IDPHExport20220405043254528.csv_deaths,IDPHExport20220405043254528.csv_TotalTestedChange,IDPHExport20220405043256767.csv_case_count,IDPHExport20220405043256767.csv_deaths,IDPHExport20220405043256767.csv_TotalTestedChange,IDPHExport20220405043529843.csv_hosp,IDPHExport20220405043533352.csv_hosp,IDPHExport20220405044003912.csv_Vaccinations,IDPHExport20220405044012526.csv_Vaccinations,positivity_rate,percent_fully_vaccinated,IDPHExport20220202114605524.csv_hosp
3/17/20,0,0,0,107,1,0,,,,,0,0,24
3/18/20,0,0,0,71,0,0,,,,,0,0,39
3/19/20,0,0,0,100,1,0,,,,,0,0,36
3/20/20,0,0,0,133,1,0,,,,,0,0,52
3/21/20,0,0,0,137,1,0,,,,,0,0,62
3/22/20,519,4,0,-262,-2,0,,,,,0,0,68
3/24/20,263,1,0,126,5,0,,,,,0,0,119
3/25/20,133,0,0,91,1,0,,,,,0,0,124
3/26/20,246,4,0,240,1,0,,,,,0,0,132
3/27/20,203,0,0,132,2,0,,,,,0,0,154
3/28/20,246,3,0,128,5,0,,,,,0,0,131
3/29/20,416,4,0,416,8,0,,,,,0,0,130
3/30/20,172,0,0,110,4,0,,,,,0,0,158
3/31/20,495,5,0,274,11,0,,,,,0,0,161
4/1/20,394,18,0,262,17,0,,,,,0,0,181
4/2/20,192,2,0,231,10,0,,,,,0,0,170
4/3/20,536,16,0,415,18,0,,,,,0,0,160
4/4/20,481,19,0,432,7,0,,,,,0,0,159
4/5/20,318,14,0,277,5,0,,,,,0,0,147
4/6/20,453,18,0,241,5,0,,,,,0,0,200
4/7/20,439,27,0,342,13,0,,,,,0,0,194
4/8/20,586,42,0,425,21,0,,,,,0,0,172
4/9/20,556,21,0,339,18,0,,,,,0,0,150
4/10/20,582,20,0,475,27,0,,,,,0,0,155
4/11/20,554,31,0,391,24,0,,,,,0,0,142
4/12/20,719,18,0,449,14,0,,,,,0,0,136
4/13/20,581,41,0,308,17,0,,,,,0,0,153
4/14/20,532,20,0,317,14,0,,,,,0,0,166
4/15/20,576,33,0,407,20,0,,,,,0,0,149
4/16/20,450,53,0,331,39,0,,,,,0,0,154
4/17/20,767,13,0,537,25,0,,,,,0,0,148
4/18/20,598,64,0,406,36,0,,,,,0,0,161
4/19/20,526,1,0,351,16,0,,,,,0,0,158
4/20/20,480,22,0,349,16,0,,,,,0,0,181
4/21/20,541,55,0,539,32,0,,,,,0,0,171
4/22/20,840,35,0,525,35,0,,,,,0,0,145
4/23/20,679,37,0,586,33,0,,,,,0,0,167
4/24/20,1039,37,0,766,41,0,,,,,0,0,168
4/25/20,997,30,0,445,17,0,,,,,0,0,118
4/26/20,756,32,0,760,14,0,,,,,0,0,129
4/27/20,817,32,0,562,2,0,,,,,0,0,169
4/28/20,912,31,0,584,79,0,,,,,0,0,174
4/29/20,819,48,0,612,11,0,,,,,0,0,158
4/30/20,1078,43,0,555,48,0,,,,,0,0,168
5/1/20,1227,51,0,928,15,0,,,,,0,0,140
5/2/20,898,33,0,661,37,0,,,,,0,0,166
5/3/20,1248,31,0,849,12,0,,,,,0,0,138
5/4/20,941,12,0,450,4,0,,,,,0.007538887,0,127
5/5/20,801,47,3987,707,73,2686,,,,,0.225985314,0,156
5/6/20,834,44,3716,632,38,3049,,,,,0.216703622,0,133
5/7/20,1001,72,4707,651,34,3392,,,,,0.203975799,0,140
5/8/20,1094,64,5405,801,23,4685,,,,,0.187809713,0,98
5/9/20,858,41,4632,580,26,3202,,,,,0.183558846,0,97
5/10/20,557,48,3536,424,5,2765,,,,,0.155689573,0,99
5/11/20,377,39,2798,349,5,2963,,,,,0.126019788,0,128
5/12/20,1230,65,6701,859,23,5652,,,,,0.169108719,0,124
5/13/20,517,52,3691,419,88,2904,,,,,0.141925701,0,124
5/14/20,1267,59,4523,784,27,4327,,,,,0.231751412,0,131
5/15/20,842,54,7144,606,33,4965,,,,,0.119580477,0,110
5/16/20,823,14,5991,484,38,4675,,,,,0.122538909,0,102
5/17/20,615,16,4436,391,9,4182,,,,,0.116732421,0,97
5/18/20,813,45,5363,659,5,4388,,,,,0.150958876,0,113
5/19/20,485,48,4509,516,43,3881,,,,,0.119308701,0,99
5/20/20,920,58,8139,602,36,6342,,,,,0.105103239,0,94
5/21/20,916,27,7826,422,13,5651,,,,,0.099280255,0,109
5/22/20,710,36,6752,688,37,7653,,,,,0.097049636,0,92
5/23/20,937,44,9477,531,14,5808,,,,,0.096041871,0,91
5/24/20,970,46,7482,623,11,5727,,,,,0.120599591,0,92
5/25/20,595,15,6359,492,7,5770,,,,,0.089619919,0,78
5/26/20,405,25,4230,317,5,3744,,,,,0.090544269,0,77
5/27/20,406,41,4171,296,60,4376,,,,,0.082134082,0,65
5/28/20,392,28,5591,393,35,4341,,,,,0.079037455,0,70
5/29/20,496,26,4669,464,26,4716,,,,,0.10229089,0,50
5/30/20,419,23,6188,434,10,5042,,,,,0.075957257,0,55
5/31/20,442,24,5686,364,14,4824,,,,,0.076688868,0,39
6/1/20,310,10,4944,260,7,4383,,,,,0.061112898,0,63
6/2/20,896,13,3947,282,54,3670,,,,,0.154654063,0,50
6/3/20,244,38,7924,287,17,4478,,,,,0.042815675,0,50
6/4/20,274,35,4095,235,31,4870,,,,,0.056776352,0,31
6/5/20,300,22,4010,331,11,3304,,,,,0.086272901,0,42
6/6/20,353,11,4472,227,21,5173,,,,,0.060134785,0,38
6/7/20,271,17,4973,232,13,4666,,,,,0.052183836,0,31
6/8/20,188,15,3676,204,3,3684,,,,,0.05326087,0,43
6/9/20,240,22,4570,212,28,4801,,,,,0.048233913,0,38
6/10/20,139,9,3993,175,35,4595,,,,,0.036562646,0,29
6/11/20,197,36,4688,196,20,4185,,,,,0.044291671,0,28
6/12/20,162,19,5455,109,34,5202,,,,,0.025429295,0,24
6/13/20,184,3,4954,148,8,4267,22,18,,,0.036004772,0,
6/14/20,164,12,5484,161,3,4685,28,20,,,0.031959878,0,
6/15/20,154,15,4664,124,3,4355,35,24,,,0.030823816,0,
6/16/20,173,28,4487,181,19,3824,41,30,,,0.042594152,0,
6/17/20,153,14,5943,167,35,6170,41,28,,,0.026417898,0,
6/18/20,155,18,4870,166,13,4616,42,26,,,0.033839342,0,
6/19/20,193,22,5108,179,8,4502,43,25,,,0.038709677,0,
6/20/20,148,10,5107,186,16,5022,41,25,,,0.032974627,0,
6/21/20,116,14,5960,176,-1,4873,38,25,,,0.026954676,0,
6/22/20,94,18,3974,153,1,3861,36,25,,,0.031525207,0,
6/23/20,198,2,4432,162,15,3620,35,22,,,0.044709389,0,
6/24/20,163,14,5329,191,25,4862,35,21,,,0.034736532,0,
6/25/20,271,18,6571,241,4,5535,33,22,,,0.042293078,0,
6/26/20,244,18,6932,174,9,6070,31,21,,,0.0321489,0,
