CountyName,AdministeredCount,AdministeredCountChange,AdministeredCountRollAvg,PersonsWithOneDose,PersonsFullyVaccinated,BoosterDoseCount,Report_Date,PctVaccinatedOneDosePopulation,PctFullyVaccinatedPopulation
Illinois,1,1,0,1,0,0,12/15/20 0:00,7.84863E-08,0
Illinois,1569,1568,224,1489,0,0,12/16/20 0:00,0.000116866,0
Illinois,11680,10111,1669,11214,0,0,12/17/20 0:00,0.000880145,0
Illinois,31049,19369,4436,29804,0,0,12/18/20 0:00,0.002339205,0
Illinois,42988,11939,6141,41358,0,0,12/19/20 0:00,0.003246036,0
Illinois,48949,5961,6993,47091,0,0,12/20/20 0:00,0.003695998,0
Illinois,60257,11308,8608,58014,0,0,12/21/20 0:00,0.004553303,0
Illinois,69335,9078,9905,66462,0,0,12/22/20 0:00,0.005216355,0
Illinois,79065,9730,11071,75748,0,0,12/23/20 0:00,0.005945179,0
Illinois,84351,5286,10382,80793,0,0,12/24/20 0:00,0.006341142,0
Illinois,85481,1130,7776,81863,0,0,12/25/20 0:00,0.006425123,0
Illinois,86791,1310,6258,83139,0,0,12/26/20 0:00,0.006525271,0
Illinois,87781,990,5547,84113,0,0,12/27/20 0:00,0.006601717,0
Illinois,93386,5605,4733,89522,0,0,12/28/20 0:00,0.007026249,0
Illinois,110604,17218,5896,106319,0,0,12/29/20 0:00,0.008344583,0
Illinois,129867,19263,7257,125024,0,0,12/30/20 0:00,0.009812669,0
Illinois,143501,13634,8450,138250,0,0,12/31/20 0:00,0.010850729,0
Illinois,148787,5286,9044,143411,0,0,1/1/21 0:00,0.011255796,0
Illinois,152311,3524,9360,146867,0,0,1/2/21 0:00,0.011527045,0
Illinois,154564,2253,9540,149077,0,0,1/3/21 0:00,0.011700499,0
Illinois,167257,12693,10553,161315,147,0,1/4/21 0:00,0.012661015,1.15375E-05
Illinois,190300,23043,11385,183378,525,0,1/5/21 0:00,0.014392657,4.12053E-05
Illinois,210940,20640,11582,201048,2954,0,1/6/21 0:00,0.01577951,0.000231848
Illinois,240987,30047,13927,212669,20306,0,1/7/21 0:00,0.016691599,0.001593742
Illinois,283047,42060,19180,232378,41255,0,1/8/21 0:00,0.018238485,0.003237952
Illinois,306188,23141,21982,243204,52730,0,1/9/21 0:00,0.019088178,0.004138582
Illinois,321783,15595,23888,251409,59688,0,1/10/21 0:00,0.019732158,0.004684689
Illinois,340042,18259,24684,258144,70512,0,1/11/21 0:00,0.020260763,0.005534225
